Randnum,TakenokoORKinokoOR
0.825688084,たけのこの里
0.368889999,きのこの山
0.909565107,たけのこの里
0.128051995,きのこの山
0.309142482,たけのこの里
0.658140359,たけのこの里
0.223654548,中立
0.952039169,中立
0.012175753,きのこの山
0.738593541,中立
0.002863846,たけのこの里
0.321484719,たけのこの里
0.002597675,たけのこの里
0.620447789,たけのこの里
0.557273592,たけのこの里
0.467534816,中立
0.677898294,たけのこの里
0.644775005,たけのこの里
0.164142532,たけのこの里
0.079756671,たけのこの里
0.048276724,中立
0.236207528,きのこの山
0.115045103,たけのこの里
0.889910743,たけのこの里
0.027704911,中立
0.723509246,たけのこの里
0.639375799,中立
0.853556534,きのこの山
0.882628379,中立
0.317532278,きのこの山
0.949083506,きのこの山
0.742981812,たけのこの里
0.205820236,たけのこの里
0.861070418,たけのこの里
0.166629368,たけのこの里
0.569482286,たけのこの里
0.880090056,たけのこの里
0.101690133,たけのこの里
0.408869319,たけのこの里
0.110012875,きのこの山
0.685361989,きのこの山
0.650455959,たけのこの里
0.637479951,たけのこの里
0.904519479,中立
0.768287927,たけのこの里
0.476390072,きのこの山
0.177597107,きのこの山
0.549109169,きのこの山
0.875273989,きのこの山
0.952663961,たけのこの里
0.291224704,たけのこの里
0.327254776,きのこの山
0.786044059,たけのこの里
0.698029847,たけのこの里
0.161447933,中立
0.808014653,たけのこの里
0.943325292,たけのこの里
0.19274173,きのこの山
0.092777764,きのこの山
0.629678016,中立
0.682999285,たけのこの里
0.711471594,たけのこの里
0.061683635,たけのこの里
0.331542908,たけのこの里
0.522027283,中立
0.249489742,きのこの山
0.52901873,たけのこの里
0.834346422,きのこの山
0.61306942,たけのこの里
0.353957693,きのこの山