2026_02,東京,横浜,さいたま,千葉
1,5.5,6.2,3.5,5.9
2,6.4,6.9,4.7,6.6
3,5.8,6.7,4.2,6.1
4,6.3,6.8,4,6.8
5,7.8,8.4,5.8,8.3
6,9,9.5,7.1,9.2
7,3.8,3.6,3.8,3.2
8,-0.7,0.2,-1.1,-0.4
9,2.8,3,2.2,4.1
10,5.5,6.6,3.2,7
11,6.1,8.4,4.2,8.4
12,6.7,7.5,5.7,7.7
13,7.1,7.7,4.7,7.8
14,9.1,9.5,7.1,9.9
15,11.9,12.6,10.3,13.1
16,10.6,10.6,9.2,10.1
17,5.8,6.3,5.9,5.9
18,7.6,8,7.3,8
19,5.5,6.1,4.6,6.6
20,5.9,6.3,4.3,6.7
21,8.8,9.2,7.4,9.5
22,12,12.2,10.4,12.6
23,17.2,17.3,14.6,17.5
24,13.4,13.7,12.7,13.2
25,9.3,9.7,9.3,9.8
26,8.6,9.1,9,9
27,11.8,11.4,11.9,11.9
28,14.3,14.1,13.3,14.8